"(PDH-CSV 4.0) (Hora verano Sudamérica Pacífico)(180)","\\OMEN2025\Disco lógico(_Total)\% de tiempo de disco","\\OMEN2025\Disco lógico(_Total)\Escrituras en disco/s","\\OMEN2025\Disco lógico(_Total)\Lecturas de disco/s","\\OMEN2025\Disco lógico(_Total)\Promedio de segundos de disco/escritura","\\OMEN2025\Disco lógico(_Total)\Promedio de segundos de disco/lectura","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Paquetes de salida con errores","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Paquetes recibidos con errores","\\OMEN2025\Interfaz de red(Realtek USB GbE Family Controller)\Total de bytes/s","\\OMEN2025\Interfaz de red(Realtek Gaming GbE Family Controller)\Total de bytes/s","\\OMEN2025\Interfaz de red(Intel[R] Wi-Fi 6 AX201 160MHz)\Total de bytes/s","\\OMEN2025\Memoria\Mbytes disponibles","\\OMEN2025\Memoria\Páginas/s","\\OMEN2025\Procesador(_Total)\% de tiempo de procesador","\\OMEN2025\Sistema\Longitud de la cola del procesador"
"12/14/2025 23:29:48.651","0.053827288342452386805","1.4045181100370915939","0","0.001149714285714285595","0","0","0","0","0","0","0","0","0","5215.9789697891765172","13481","0.20064544429101310863","3.831025373225038777","0"
"12/14/2025 23:29:53.667","0.023685615338388962825","0.19939406536265072423","0","0.0035636000000000001009","0","0","0","0","0","0","0","0","0","6436.4404299063653525","13478","0","2.2518482167387499082","0"
"12/14/2025 23:29:58.649","0.49077224505793221043","6.4223857392851382286","0.20069955435266056964","0.0015244843750000000148","0.02457430000000000031","0","0","0","0","0","0","0","0","9291.7872678651256138","13476","0","3.4114397102435467524","0"
"12/14/2025 23:30:03.666","0.99168179883200624491","42.655406702360338045","1.7939189734637523976","0.00042767289719626170935","0.0064149888888888886504","0","0","0","0","0","0","0","0","5732.7670661989986911","13477","0.19932433038486138677","4.3090000620096375883","0"
"12/14/2025 23:30:08.661","0.10679083733454441951","4.2044733073306010951","0.20021301463479054816","0.00074759523809523817373","0.00030229999999999997541","0","0","0","0","0","0","0","0","11707.856456798646832","13466","0","12.133720731999842357","0"
"12/14/2025 23:30:13.652","0.19348798735449207475","8.6147757187217219865","0","0.00067379534883720937181","0","0","0","0","0","0","0","0","0","8021.5582558581172634","13455","0.20034362136562144929","17.435606297454285141","0"
"12/14/2025 23:30:18.652","0.27796910621879666881","12.601001779641482159","0","0.00066178730158730162542","0","0","0","0","0","0","0","0","0","11558.71891815399249","13463","0","17.221469809252067051","0"
"12/14/2025 23:30:23.650","0.11991108896767363468","1.6006032993956083033","0","0.0022474875000000000061","0","0","0","0","0","0","0","0","0","4804.6109539607668921","13482","0","13.873864850661144388","0"
"12/14/2025 23:30:28.659","0.080935660232733186437","3.5935033771145823422","0","0.00067569444444444447598","0","0","0","0","0","0","0","0","0","5318.1853590530754445","13467","0","16.323170076185245847","0"
"12/14/2025 23:30:33.652","0.20397690889111508294","10.813744268965855611","0","0.00056586666666666668793","0","0","0","0","0","0","0","0","0","11153.175686297283391","13478","0.20025452349936770369","6.9103526131457426729","0"
"12/14/2025 23:30:38.642","0.052175566412305772468","1.4028051614251986212","0","0.0011158285714285714769","0","0","0","0","0","0","0","0","0","12118.032186602906222","13474","0","7.0029044852871198401","0"
"12/14/2025 23:30:43.666","3.7444818918510218708","39.611238978446451142","0.39810290430599448719","0.0027028819095477386349","0.013238700000000000814","0","0","0","0","0","0","0","0","14029.146347743246224","13482","0.19905145215299724359","7.4725301586181185343","0"
"12/14/2025 23:30:48.658","0.37107939854638199995","11.819827761069195304","0.20033606374693549435","0.00087287796610169493886","0.0040686000000000003413","0","0","0","0","0","0","0","0","10814.741729250819844","13481","0.20033606374693549435","4.0575705562316493058","0"
"12/14/2025 23:30:53.654","0.052001977027969506495","1.6014112276302367999","0","0.00097417499999999997585","0","0","0","0","0","0","0","0","0","11496.130850350562469","13490","0","4.4076709982363793117","0"
"12/14/2025 23:30:58.644","0.11261854251228253787","6.6122350151826942977","0","0.00051095757575757576492","0","0","0","0","0","0","0","0","0","11816.665084405582093","13481","0","5.1759706554208806395","0"
"12/14/2025 23:31:03.665","0.42526343708232555718","8.5647043395345185957","0.5975375120605478374","0.00089377209302325579931","0.0085399333333333344448","0","0","0","0","0","0","0","0","11320.945703499139199","13475","9.7597793636556140484","7.4123795326442305509","0"
"12/14/2025 23:31:08.650","0.13523440419414828328","12.237525638117748628","0","0.00033152622950819674594","0","0","0","0","0","0","0","0","0","15772.966856487406403","13476","0","4.6688108237596832595","0"
"12/14/2025 23:31:13.665","0.10166170931346098227","2.1929974958360958226","0","0.0013906999999999999224","0","0","0","0","0","0","0","0","0","10396.403037532792951","13487","0","4.2118047639833733342","0"
"12/14/2025 23:31:18.646","0.15565650236472242107","4.2162463778428147521","0","0.0011075666666666666819","0","0","0","0","0","0","0","0","0","10979.306341539728237","13441","0","7.5350945893981275958","0"
"12/14/2025 23:31:23.649","0.37376361010416947472","16.791926777443940466","0.1999038902076659685","0.00037616785714285713065","0.024493199999999999694","0","0","0","0","0","0","0","0","10797.408821786661065","13454","0","7.505083973521120555","0"
"12/14/2025 23:31:28.654","0.42298833214514142131","7.5915022242402310226","0","0.0016715263157894737819","0","0","0","0","0","0","0","0","0","11289.562689316833712","13594","348.01044406911796614","4.7532950974272463185","0"
"12/14/2025 23:31:33.650","0.17830544971325751336","5.4043214034806510426","0","0.00098979629629629634416","0","0","0","0","0","0","0","0","0","10751.196872042821269","13590","0.20016005198076483595","7.7002165818143559761","0"
"12/14/2025 23:31:38.657","0.35522053622844790288","10.586548308257594186","0","0.0010066320754716982615","0","0","0","0","0","0","0","0","0","11095.301865637446099","13590","0","4.4974533652950228202","0"
"12/14/2025 23:31:43.650","2.6589687505889569863","18.425990227736026128","0","0.0043291510869565216768","0","0","0","0","0","0","0","0","0","12655.450766415042381","13586","0.60084750742617476504","5.6088244837601219928","0"
"12/14/2025 23:31:48.651","0.19845078587059036823","11.196536015687465593","0","0.00053172857142857142803","0","0","0","0","0","0","0","0","0","10365.793030952083427","13580","0","2.7253193479939152866","0"
"12/14/2025 23:31:53.646","0.23765628640739863697","6.4068042824201016927","0","0.0011128281250000001019","0","0","0","0","0","0","0","0","0","12524.501521595995655","13589","0","4.7817320955233277857","0"
"12/14/2025 23:31:58.664","0.084842467587957326458","4.7829122806115504929","0","0.00053216666666666668194","0","0","0","0","0","0","0","0","0","11757.793401825036199","13585","0","5.1440446658036265148","0"
"12/14/2025 23:32:03.653","0.29027553505570780068","8.6191894185538924233","0","0.0010103395348837209376","0","0","0","0","0","0","0","0","0","11856.59705341584413","13586","0.40089253109552985821","7.1378765295083912434","0"
"12/14/2025 23:32:08.666","0.11054542831905647682","4.1885248659657090542","0.3989071300919722618","0.00077548095238095236283","0.00017105000000000001063","0","0","0","0","0","0","0","0","14827.976386213746082","13591","6.3825140814715561888","5.4930470906690676003","0"
"12/14/2025 23:32:13.666","0.099100989311944706617","5.1997732898845603344","0.39998256076035082485","0.00055732692307692308174","0.00018760000000000000633","0","0","0","0","0","0","0","0","4879.1872674351398018","13597","0","3.1279429730924790398","0"
"12/14/2025 23:32:18.665","0.23956864440664507598","7.201821772835657498","0","0.00099794722222222229102","0","0","0","0","0","0","0","0","0","5271.5334871108998414","13606","0","2.4362407099733252025","0"
"12/14/2025 23:32:23.649","0.13308944837726405241","4.8156730896375341544","0","0.00082910000000000004094","0","0","0","0","0","0","0","0","0","6327.9950928291218588","13613","0.2006530454015639231","3.9841677171044254102","0"
"12/14/2025 23:32:28.665","0.16227024756649452431","4.9841010168024606486","0","0.00097673200000000012094","0","0","0","0","0","0","0","0","0","5914.1342665378006132","13615","0","1.7587703266940257762","0"
"12/14/2025 23:32:33.665","0.47790130707704497892","24.200291371508114935","0.20000240802899266201","0.0004337371900826446228","0.019202500000000000818","0","0","0","0","0","0","0","0","5732.469018926987701","13612","0.20000240802899266201","3.3977675125511863641","0"
"12/14/2025 23:32:38.650","0.12845641203683458298","2.2064913209469199096","0","0.001746509090909090841","0","0","0","0","0","0","0","0","0","7424.0409345060415944","13598","0","2.91713541418853195","0"
"12/14/2025 23:32:43.663","3.3062169379852219819","18.552475237333037938","0","0.0053463365591397849635","0","0","0","0","0","0","0","0","0","5972.101625591818447","13613","0","3.4127028156497818401","0"
"12/14/2025 23:32:48.645","0.16674122640441230159","9.2332867373510900677","0","0.00054175434782608692004","0","0","0","0","0","0","0","0","0","11849.919909266498507","13607","0","7.0465305153064488053","0"
"12/14/2025 23:32:53.651","0.19452161344490948025","1.7978301987331488654","0","0.0032459555555555555731","0","0","0","0","0","0","0","0","0","12169.712374135655409","13612","0","4.5300809550218428257","0"
"12/14/2025 23:32:58.654","0.17405703482048159869","2.3985122987615703494","0","0.0021770083333333333994","0","0","0","0","0","0","0","0","0","12024.541657791338366","13617","0","4.7828886343994287955","0"
"12/14/2025 23:33:03.656","0.36451198847092514121","10.396339448880050682","0","0.0010518730769230768933","0","0","0","0","0","0","0","0","0","11789.648864634762504","13605","0","6.8321492116654836124","0"
